No,Day,Date( SUB),serial,Battalion,Company Name,Test Type,Date ( test),Classification,#200,AVERAGE VALUE,Sampling Location,Zone,ELMENT,layer ,Number of Tests,Performed Test ,Area(m2),sample status,Document Status,NUM. OF PAGES,Done BY,DURATION,Note
322,Wednesday,26-11-25,35915,36,MOKHTAR ELSHENAWY,PLATE LOAD,24-11-25,,,,Fill,MARINA C,BH-9,25.75,1,,,APPROVED AS NOTED,DONE,6,CEDC,2,
323,Wednesday,26-11-25,35917,36,MOKHTAR ELSHENAWY,PLATE LOAD,24-11-25,,,,Fill,MARINA C,BH-9,25.75,1,,,APPROVED AS NOTED,DONE,6,CEDC,2,
324,Wednesday,26-11-25,35922,36,MOKHTAR ELSHENAWY,PLATE LOAD,22-11-25,,,,Fill,MARINA C,BH-10,24,1,,,APPROVED AS NOTED,DONE,6,CEDC,4,
325,Wednesday,26-11-25,35923,36,MOKHTAR ELSHENAWY,PLATE LOAD,22-11-25,,,,Fill,MARINA C,BH-10,24,1,,,APPROVED AS NOTED,DONE,6,CEDC,4,
326,Wednesday,26-11-25,35924,36,MOKHTAR ELSHENAWY,PLATE LOAD,22-11-25,,,,Fill,MARINA C,BH-14,24,1,,,APPROVED AS NOTED,DONE,6,CEDC,4,
327,Wednesday,26-11-25,25894,36,U-MARK,DPL,23-11-25,,,41.908,Fill,MARINA C,BH-4,LAYER-8,2,,,APPROVED AS NOTED,DONE,2,EIDG,3,
328,Wednesday,26-11-25,35882,36,U-MARK,DPL,23-11-25,,,47.953,Fill,MARINA C,BH-3,LAYER-8,7,,,APPROVED AS NOTED,DONE,2,EIDG,3,
329,Wednesday,26-11-25,35881,36,El-BATAL,DPL,23-11-25,,,54.283,Fill,MARINA C,BH-7,LAYER-9,2,,,APPROVED AS NOTED,DONE,2,EIDG,3,
330,Wednesday,26-11-25,35880,36,El-BATAL,DPL,23-11-25,,,52.282,Fill,MARINA C,BH-8,LAYER-11,9,,,APPROVED AS NOTED,DONE,2,EIDG,3,
331,Wednesday,26-11-25,35879,36,U-MARK,DPL,23-11-25,,,53.029,Fill,MARINA C,BH-13,LAYER-2,2,,,APPROVED AS NOTED,DONE,2,EIDG,3,
332,Wednesday,26-11-25,35883,36,U-MARK,DPL,23-11-25,,,42.055,Fill,MARINA C,BH-1,LAYER-8,2,,,APPROVED AS NOTED,DONE,2,EIDG,3,
