No,Day,Date( SUB),serial,Battalion,Company Name,Test Type,Date ( test),Classification,#200,AVERAGE VALUE,Sampling Location,Zone,ELMENT,BUILDING,layer ,Number of Tests,Performed Test ,Area(m2),sample status,Document Status,NUM. OF PAGES,Done BY,DURATION,Company ,Executed Quantity,Required Quantity
334,Monday,24-08-26,64067,36, Fayek Office ,DPL,19-08-26,,,45.88,Fill,C-A,BH-10-1,M 95,LAYER-1,3,,1575,APPROVED AS NOTED,DONE,2,EIDG,5,,,
335,Monday,24-08-26,63975,36, Fayek Office ,DPL,20-08-26,,,56.08,Fill,C-A,BH-10-1,M 90,LAYER-1,2,,979,APPROVED AS NOTED,DONE,2,EIDG,4,,,
336,Monday,24-08-26,64003,36, EL-Hoda ,DPL,20-08-26,,,51.69,Fill,C-A,BH-13-3,M 190,LAYER-1,3,,1191,APPROVED AS NOTED,DONE,2,EIDG,4,,,
337,Monday,24-08-26,64002,36, EL-Hoda ,DPL,20-08-26,,,48.69,Fill,C-A,BH-13-3,M 193,LAYER-1,3,,1318,APPROVED AS NOTED,DONE,2,EIDG,4,,,
338,Monday,24-08-26,63972,36, EL-Hoda ,DPL,20-08-26,,,47.73,Fill,C-A,BH-13-3,M 115,LAYER-3,2,,597,APPROVED AS NOTED,DONE,2,EIDG,4,,,
339,Monday,24-08-26,64036,36, EL-Hoda ,DPL,21-08-26,,,44.94,Fill,C-A,BH-13-3,M 195,LAYER-3,2,,965,APPROVED AS NOTED,DONE,2,EIDG,3,,,
340,Monday,24-08-26,64037,36, EL-Hoda ,DPL,21-08-26,,,50.156,Fill,C-A,BH-13-3,M 192,LAYER-1,2,,388,APPROVED AS NOTED,DONE,2,EIDG,3,,,
341,Monday,24-08-26,63986,36, Al Thanaa ,DPL,20-08-26,,,53.22,Fill,C-A,BH-11-2,M 105,LAYER-2,2,,656,APPROVED AS NOTED,DONE,2,EIDG,4,,,
342,Monday,24-08-26,64105,36, Al Thanaa ,DPL,19-08-26,,,49.33,Fill,C-A,BH-11-2,M 105,LAYER-1,2,,581,APPROVED AS NOTED,DONE,2,EIDG,5,,,
343,Monday,24-08-26,63981,36, Al Thanaa ,DPL,20-08-26,,,51.33,Fill,C-A,BH-11-2,M 110,LAYER-1,5,,581,APPROVED AS NOTED,DONE,2,EIDG,4,,,
344,Monday,24-08-26,64038,36, EL Nessr El Araby ,DPL,21-08-26,,,50.17,Fill,C-A,BH-13-4,M 134,LAYER-1,5,,2228,APPROVED AS NOTED,DONE,2,EIDG,3,,,
345,Monday,24-08-26,63982,36, EL Nessr El Araby ,SOIL,20-08-26,A-2-4,34.80%,50.17,Bottom of excavation,C-A,BH-13-4,M 141,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,4,,,
346,Monday,24-08-26,63982,36, EL Nessr El Araby ,DPL,20-08-26,,,47.53,Bottom of excavation,C-A,BH-13-4,M 141,LAYER-0,2,,698,APPROVED AS NOTED,DONE,2,EIDG,4,,,
